0.60511,0.23669,0.47306,0.47178,0.87192,0.15132,0.82769,0.64476,0.17118,0.79028,0.74751,0.38585,0.34837
0.16762,0.16173,0.82285,0.25864,0.21962,0.94691,0.88436,0.20383,0.42252,0.1755,0.25438,0.086479,0.91242
0.091643,0.12282,0.1866,0.45856,0.046956,0.65055,0.36493,0.17668,0.15517,0.14766,0.67929,0.65745,0.2056
0.92716,0.26124,0.97331,0.31178,0.90762,0.57846,0.30021,0.38678,0.40892,0.0072363,0.73629,0.66761,0.12534
0.55113,0.92364,0.83354,0.56496,0.85742,0.018126,0.82041,0.96244,0.64634,0.14307,0.15354,0.14374,0.38449
0.31466,0.064819,0.13552,0.81676,0.56029,0.7977,0.15141,0.030287,0.38704,0.068115,0.056734,0.90249,0.35274
0.071404,0.19738,0.73394,0.90839,0.39765,0.70647,0.98769,0.96042,0.63408,0.75633,0.025541,0.48974,0.60237
0.28391,0.94952,0.42887,0.64841,0.47913,0.081392,0.12466,0.00079062,0.9709,0.66367,0.46821,0.26993,0.93393
0.67337,0.37428,0.62757,0.94592,0.61098,0.41522,0.71699,0.8466,0.77366,0.085209,0.82098,0.83724,0.47631
0.040833,0.018408,0.16295,0.15102,0.66404,0.86822,0.088811,0.12319,0.81852,0.34136,0.024773,0.26348,0.78969
0.25374,0.24928,0.31272,0.5294,0.39542,0.28505,0.35671,0.061992,0.95491,0.33924,0.33723,0.37745,0.17315
0.77832,0.043355,0.039181,0.18316,0.57462,0.047492,0.38812,0.52099,0.4055,0.50073,0.96248,0.14814,0.80819
0.58365,0.1348,0.42451,0.11142,0.63549,0.35653,0.38253,0.76352,0.25309,0.081176,0.96951,0.48351,0.66546
0.79967,0.51647,0.72912,0.021489,0.42851,0.14897,0.98978,0.76569,0.79511,0.5423,0.75276,0.27716,0.071729
0.63629,0.19992,0.80684,0.71486,0.18312,0.88619,0.02484,0.040984,0.75891,0.32613,0.626,0.87344,0.38639
0.060391,0.86179,0.19599,0.73185,0.78547,0.67881,0.73739,0.48546,0.70379,0.1095,0.063632,0.62565,0.6263
0.96892,0.50628,0.55613,0.1638,0.52576,0.1812,0.30565,0.12563,0.81277,0.12719,0.37855,0.51157,0.72634
0.40352,0.3001,0.996,0.5672,0.96668,0.65406,0.21985,0.99039,0.24152,0.40359,0.72926,0.87134,0.56395
0.68565,0.62368,0.75242,0.82721,0.33033,0.6323,0.59076,0.21472,0.056426,0.34056,0.72985,0.36613,0.12502
0.77576,0.75339,0.92061,0.82938,0.41508,0.50675,0.63592,0.99948,0.91764,0.29858,0.15221,0.90707,0.72292
0.28872,0.13449,0.74057,0.33818,0.0041099,0.20718,0.77876,0.81113,0.11142,0.86838,0.05319,0.012324,0.58317
